MOI	Freq	A	B
2	0.01	1.0190187950627	1.07675339023791
2	0.02	0.983231105745988	0.968055007697213
2	0.03	0.965766995333277	0.979565374461366
2	0.04	1.01615857283709	0.977814454643677
2	0.05	0.981887757473312	1.00649391073454
2	0.06	0.959596643079491	0.981372372367873
2	0.07	0.974208484087448	0.998511423403446
2	0.08	0.998464773348935	1.00079893715254
2	0.09	1.01436805733338	1.0012828060635
2	0.1	1.00964278964435	1.01155623648958
2	0.11	0.972789127211593	0.972392861438494
2	0.12	0.988797698493362	1.00410687136999
2	0.13	1.01332806035163	1.00166129806595
2	0.14	0.989199710485265	1.0113989376283
2	0.15	1.01008925055954	1.00859078913041
2	0.16	0.984845299678482	0.99220580738988
2	0.17	0.988465702163176	0.999993964010204
2	0.18	1.01491276469926	1.01036615479964
2	0.19	0.988922117475779	0.998928611302478
2	0.2	1.00771992363508	0.999110347162298
2	0.21	0.992136686459564	0.997992518352967
2	0.22	0.999203415011097	0.998339904003128
2	0.23	0.975515743246903	0.99230213165454
2	0.24	0.988159464461422	0.99303067770315
2	0.25	1.01487844081205	1.00479265883676
2	0.26	1.00457042475494	1.00866086211304
2	0.27	1.00173245348044	0.998930400105152
2	0.28	0.984591132489766	0.983730548543765
2	0.29	0.988239125136738	0.998623088704813
2	0.3	0.99745041638592	1.01749928786503
2	0.31	1.00847173726933	0.992119527400877
2	0.32	1.00687252439762	1.00872697440524
2	0.33	1.0124313484434	1.02585660767762
2	0.34	1.02447933298966	1.0166704953251
2	0.35	1.00412631216419	0.996272146234053
2	0.36	1.01157083788332	1.00174848355654
2	0.37	1.00617829073881	1.01173086005267
2	0.38	1.00339347010339	0.995922841315
2	0.39	0.986085129048035	0.982979873015283
2	0.4	1.01818960784222	1.02037847356801
2	0.41	1.00277547442291	1.00470002592929
2	0.42	0.999227287827499	0.994910515696878
2	0.43	1.00115887031972	1.00774122308201
2	0.44	1.00466804117163	1.00778317618824
2	0.45	1.00878234979133	1.00647524946656
2	0.46	1.00610088495061	1.0032791295273
2	0.47	0.992734405135905	1.00131523114065
2	0.48	0.9978136962002	0.994361446183675
2	0.49	1.00301271906973	1.00360704520162
2	0.5	1.00179488755501	0.999055791482177
3	0.01	0.992852966842919	1.87154075051459
3	0.02	0.981732539908269	1.92705739354192
3	0.03	0.958070365624716	1.8393171633638
3	0.04	0.984629110891612	1.82929118171452
3	0.05	0.964912518439884	1.75726084760546
3	0.06	0.944883152001086	1.71203530245712
3	0.07	0.966830665753407	1.71979075965011
3	0.08	0.942064128800595	1.64786918987975
3	0.09	0.940730613792597	1.65096437687827
3	0.1	0.951474969819619	1.62475313261826
3	0.11	0.91301036732806	1.53831882843972
3	0.12	0.939943000406981	1.55650443838375
3	0.13	0.923953359572165	1.48364497214689
3	0.14	0.916901258936481	1.46715053153561
3	0.15	0.9208596377321	1.43222380413749
3	0.16	0.930096371522647	1.43252084209113
3	0.17	0.930154159324572	1.4219030579984
3	0.18	0.926901473928887	1.3953721182715
3	0.19	0.918577711179061	1.36639330768655
3	0.2	0.920139778319772	1.36540754684663
3	0.21	0.913991571587873	1.32017510406143
3	0.22	0.918867287597712	1.30628311526444
3	0.23	0.918423365353468	1.2941766877174
3	0.24	0.924084294673546	1.27194825938839
3	0.25	0.91079751774634	1.24335184397679
3	0.26	0.919502844933252	1.2448564507162
3	0.27	0.918857253710356	1.24098463032179
3	0.28	0.931097929019463	1.22519337045961
3	0.29	0.919884835823287	1.18823817116482
3	0.3	0.910065277366472	1.15749492808589
3	0.31	0.921310145381607	1.16919100908692
3	0.32	0.916260611816368	1.14730228209382
3	0.33	0.934322526952038	1.15484885810658
3	0.34	0.924526799129105	1.1213107268438
3	0.35	0.938730314316896	1.13800025019049
3	0.36	0.93978364575028	1.10761206114956
3	0.37	0.956728122003346	1.12103789647775
3	0.38	0.938836723708905	1.08379973801474
3	0.39	0.955321043554541	1.0870032357327
3	0.4	0.951665533126074	1.06974793045526
3	0.41	0.957848774569148	1.06943822679774
3	0.42	0.951553044677223	1.04911038249405
3	0.43	0.971096059803855	1.06060387259422
3	0.44	0.959531466318767	1.03089228890133
3	0.45	0.969782152771908	1.03668309783176
3	0.46	0.96804563006528	1.02470004561688
3	0.47	0.984642547592926	1.02188330196965
3	0.48	0.991953486348502	1.01994058198519
3	0.49	0.993311497400385	1.00781894554969
3	0.5	1.00294362070923	1.00588368804799
4	0.01	1.01152702873928	2.89254266652596
4	0.02	0.988634144083717	2.7930178103315
4	0.03	0.981870320775976	2.75629222089322
4	0.04	0.979787853859576	2.66403890182074
4	0.05	0.978644813844432	2.62164144255841
4	0.06	0.972901246905421	2.54122624953979
4	0.07	0.968850455703131	2.44282095888995
4	0.08	0.948768299860514	2.36892388873948
4	0.09	0.951784132726034	2.32584041546963
4	0.1	0.955094135162499	2.28800203513057
4	0.11	0.956272958042347	2.25231016320028
4	0.12	0.925780275657095	2.15562186189191
4	0.13	0.942538440990742	2.1146519403829
4	0.14	0.928483895830619	2.0418543816502
4	0.15	0.925336359027787	1.98976329764038
4	0.16	0.929603865158884	1.96561347411862
4	0.17	0.9295222784199	1.92124862045475
4	0.18	0.93893707987896	1.86948565860778
4	0.19	0.911111011846611	1.80340670681722
4	0.2	0.923852771795315	1.78336485009706
4	0.21	0.923840439608539	1.7250473339804
4	0.22	0.92124185207319	1.70648480810645
4	0.23	0.922282254991414	1.662379341421
4	0.24	0.92225832061453	1.62862953827335
4	0.25	0.919387809375363	1.58728746261648
4	0.26	0.935486369814415	1.56528227932338
